	Effectors	Antimicrobial peptides				(SORY_00000027), (SORY_00000028), (SORY_00005229)	(ACYPI001394, response, antimicrobial peptide, Thm2, Thaumatin2, Tha, Thn), (ACYPI003287, response, antimicrobial peptide, Thm4, Thaumatin4, Tha, Thn), (ACYPI005841, response, antimicrobial peptide, Thm1, Thaumatin1, Tha, Thn), (ACYPI007568, response, antimicrobial peptide, Thm5, Thaumatin5, Tha, Thn), (ACYPI009605, response, antimicrobial peptide, Thm3, Thaumatin3, Tha, Thn), (ACYPI082575), (ACYPI081990)											(GLEAN_00515), (GLEAN_00516), (GLEAN_00517)		(ENN77004), (ENN77293)																																														
Att1	Effectors	Antimicrobial peptides	attacin1			(SORY_00007287)												(GLEAN_07737, attacin1, antimicrobial peptide, )				GLEAN_07737	attacin1	antimicrobial peptide																																										
Def	Effectors	Antimicrobial peptides	defensin			(SORY_00014338)		(AGAP011294, DEF, , DEF1, Defensin)	(GB41428, Defensin-1, Antimicrobial peptide - AMP), (GB47618, Defensin-2, Antimicrobial peptide - AMP)		(Cflo_N_g8312t1, Defensin-2, , , , , partial)	(FBgn0010385, Def, humoral, AMP)			(NV13920, antimicrobial peptide defesin 1-1, not present, defensin 1-1), (NV22776, GLEAN (no annotation), defensin/royalism precursor , defensin 1-2), (NV14926, defensin 2, defensin 2, defensin 2-3), (NV14927, antimicrobial peptide defesin 2-1, not present, not on current assembly), (NV14928, antimicrobial peptide defensin 2-2, not present, not on current assembly)	(PHUM365700, Effector, Defensin), (PHUM595870, Effector, Defensin)		(GLEAN_06250, defensin1, antimicrobial peptide, ), (GLEAN_10517, defensin2, antimicrobial peptide, ), (GLEAN_12469, defensin3, antimicrobial peptide, )	(SINV17513), (SINV21373)	(ENN77243)	(AAEL003832), (AAEL003841), (AAEL003857)	GLEAN_06250	defensin1	antimicrobial peptide	GLEAN_10517	defensin2	antimicrobial peptide	GLEAN_12469	defensin3	antimicrobial peptide																																				
	Effectors	Antimicrobial peptides		Cecropin				(AGAP000693, CEC, , CEC1, CecA)				(FBgn0000276, CecA1, humoral, AMP), (FBgn0000277, CecA2, humoral, AMP), (FBgn0000278, CecB, humoral, AMP), (FBgn0000279, CecC, humoral, AMP)	(GMOY011562, Cecropin A1, CecA1, GMOY011562, Cecropin A2, CecA2, GMOY011562, Cecropin B, CecB, GMOY011562, Cecropin C, CecC), (GMOY011563)								(AAEL004223), (AAEL017211)																																													
	Effectors	Antimicrobial peptides		Hymenoptaecin					(GB51223, Hymenoptaecin, Antimicrobial peptide - AMP)		(Cflo_N_g14777t1)				(NV12538, hymenoptaecin, hymenoptaecin, hymenoptaecin-1), (NV16181, hypothetical protein, not present, nahymenoptaecin-2 precursor)				(SINV15377)																																															
	Effectors	Antimicrobial peptides		Lysozyme				(AGAP007386), (AGAP007385)	(GB40163, Lysozyme X, Lysozyme)		(Cflo_N_g4036t1, Lysozyme c-1, , , , , ), (Cflo_N_g5519t1, Lysozyme c-1, , , , , )	(FBgn0034539)	(GMOY000103)	(Msex2.09992-RA), (Msex2.09992-RB)	(NV10739, lysozyme P, lysozyme P, lysozyme c-1)		(Px011528, Lys1, Lysozyme)		(SINV25931)	(ENN73097)	(AAEL010100), (AAEL015404), (AAEL017132)																																													
	Effectors	Antimicrobial peptides		Lysozyme				(AGAP007343), (AGAP007347), (AGAP007344), (AGAP007345), (AGAP007346)		(BGIBMGA010439-TA, Effectors, Lysozyme, Lysozyme, , BmLys, Lysozyme)		(FBgn0004425), (FBgn0004427), (FBgn0004428), (FBgn0004429), (FBgn0004430), (FBgn0004431)		(Msex2.04822-RA), (Msex2.04822-RB)			(Px002706, Lys2, Lysozyme)				(AAEL003712), (AAEL003723), (AAEL009670)																																													
	Effectors	Antimicrobial peptides		Lysozyme						(BGIBMGA014001-TA, Effectors, Lysozyme, LLP, , BmLLP3, )				(Msex2.09994-RA), (Msex2.09994-RB)																																																				
	Effectors	Antimicrobial peptides		Cecropin	CecA					(BGIBMGA006280-TA, Effectors, Cecropin, CecA, , BmCecA1, Cecropin A), (BGIBMGA014285-TA, Effectors, Cecropin, CecA, , BmCecA2, )				(Msex2.14466-RA), (Msex2.14466-RB)			(Px013796, Cecropin, Cecropin), (Px013797, Cecropin, Cecropin)																																																	
	Effectors	Antimicrobial peptides		Cecropin	CecB					(BGIBMGA000021-TA, Effectors, Cecropin, CecB, , BmCecB3, ), (BGIBMGA000023-TA, Effectors, Cecropin, CecB, , BmCecB2, ), (BGIBMGA000024-TA, Effectors, Cecropin, CecB, , BmCecB1, Cecropin B), (BGIBMGA000036-TA, Effectors, Cecropin, CecB, , BmCecB4, ), (BGIBMGA000037-TA, Effectors, Cecropin, CecB, , BmCecB5, ), (BGIBMGA000038-TA, Effectors, Cecropin, CecB, , BmCecB6, )				(Msex2.13789-RA)																																																				
